Altium Designer Pick and Place Locations
F:\OneDrive\Altium\Projects\UD3_Fibernet\.\Gerber\Fibernet V2.0a\Pick Place for Fibernet.csv

========================================================================================================================
File Design Information:

Date:       11/07/23
Time:       01:10
Revision:   e5ffdb2bf33d81968df36165ae327fce9aa09dea
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C35","100nF","BottomLayer","0402","122.3010","91.4400","0",""
"C43","1uF","BottomLayer","0402","78.6130","91.4400","0",""
"C8","22uF","BottomLayer","0603","73.2790","91.5670","180",""
"C7","22uF","BottomLayer","0603","73.2790","89.9160","180",""
"C28","1uF","BottomLayer","0402","85.6940","80.7540","270",""
"X1","25MHz","BottomLayer","ECS-3225MV_Oscillator","98.8900","91.7320","180",""
"Reg1","Buck regulator","BottomLayer","TSOT26","70.8660","86.6140","0",""
"R28","62k","BottomLayer","0402","69.8500","83.9470","180",""
"R27","182k","BottomLayer","0402","72.0090","82.6770","0",""
"R26","1k","BottomLayer","0402","94.2340","85.4710","0",""
"R25","12.1k 1%","BottomLayer","0402","90.8050","96.3720","270",""
"R24","1k","BottomLayer","0402","76.7080","77.5970","180",""
"R23","1k","BottomLayer","0402","78.6130","89.4080","0",""
"R22","1k","BottomLayer","0402","76.7080","76.5810","180",""
"R21","1k","BottomLayer","0402","76.7080","78.6130","180",""
"R20","10k","BottomLayer","0402","122.0470","98.2980","0",""
"R19","10k","BottomLayer","0402","78.6130","92.4560","0",""
"R18","10k","BottomLayer","0402","78.6130","90.4240","0",""
"R17","10k","BottomLayer","0402","76.9620","89.9160","270",""
"R16","10k","BottomLayer","0402","78.6130","87.3760","0",""
"R15","10k","BottomLayer","0402","78.6130","88.3920","0",""
"R14","130","BottomLayer","0402","83.9470","94.1070","180",""
"R13","130","BottomLayer","0402","85.8520","94.1070","0",""
"R12","1k","BottomLayer","0402","122.3010","80.1110","0",""
"R11","4.7k","BottomLayer","0402","102.9970","85.6740","180",""
"R10","4.7k","BottomLayer","0402","102.9970","89.2740","180",""
"R9","4.7k","BottomLayer","0402","102.9970","86.8740","180",""
"R8","4.7k","BottomLayer","0402","102.9970","88.0740","180",""
"R7","82","BottomLayer","0402","83.9470","95.1230","0",""
"R6","82","BottomLayer","0402","85.8520","95.1230","180",""
"R5","49.9","BottomLayer","0402","109.9820","89.9160","0",""
"R4","49.9","BottomLayer","0402","109.9820","91.0590","0",""
"R3","4.7k","BottomLayer","0402","102.9970","90.4740","180",""
"R2","10k","BottomLayer","0402","122.3010","81.1530","0",""
"R1","10k","BottomLayer","0402","134.6800","89.6620","180",""
"MCU1","PIC32MX270F256B","BottomLayer","TSSOP28_Wide","128.6510","86.6140","180","32Bit pic with usb"
"L8","6.8uH","BottomLayer","1008","74.4220","86.6140","90",""
"L7","1uH","BottomLayer","0603","117.3480","90.6780","180",""
"L6","1uH","BottomLayer","0603","117.3480","85.0900","180",""
"L5","Ferrite Bead","BottomLayer","0402","92.8370","96.3720","90",""
"L4","Ferrite Bead","BottomLayer","0402","87.7570","97.0280","270",""
"L3","Ferrite Bead","BottomLayer","0402","95.8850","96.3720","270",""
"L2","Ferrite Bead","BottomLayer","0402","78.6130","93.4720","0",""
"L1","Ferrite Bead","BottomLayer","0402","94.3610","93.7260","270",""
"Jp3","Green","TopLayer","PCB_Jumper_NO","76.3397","98.0440","180",""
"Jp2","Blue","TopLayer","PCB_Jumper_NO","76.3397","96.6470","180",""
"Jp1","Red","TopLayer","PCB_Jumper_NO","76.3397","99.4410","180",""
"J4","ICSP","TopLayer","HDR1X5","129.7940","98.2980","0","Header, 5-Pin"
"IC1","LAN9250","BottomLayer","QFN64","86.7050","87.4040","180","10/100 Ethernet controller & PHY"
"C46","22uF","BottomLayer","0603","70.3580","89.9160","0",""
"C45","22uF","BottomLayer","0603","70.3580","91.5670","180",""
"C44","100nF","BottomLayer","0402","78.6130","84.3280","180",""
"C42","22uF","BottomLayer","0603","117.3480","86.6140","0",""
"C41","100nF","BottomLayer","0402","111.3282","87.4395","180",""
"C40","22uF","BottomLayer","0603","117.3480","89.1540","0",""
"C39","100nF","BottomLayer","0402","111.3120","88.6460","180",""
"C38","100nF","BottomLayer","0402","82.2960","80.7720","270",""
"C37","22uF","BottomLayer","0603","134.8740","83.0580","0",""
"C36","100nF","BottomLayer","0402","91.8210","96.3720","90",""
"C34","100nF","BottomLayer","0402","72.0090","83.9470","0",""
"C33","100pF","BottomLayer","0402","69.8500","82.6770","180",""
"C32","100nF","BottomLayer","0402","93.8530","96.3720","90",""
"C31","1uF","BottomLayer","0402","94.8690","96.3720","90",""
"C30","100nF","BottomLayer","0402","85.7250","97.0280","90",""
"C29","1uF","BottomLayer","0402","86.7410","97.0280","90",""
"C27","1uF","BottomLayer","0402","94.2340","87.7570","0",""
"C26","100nF","BottomLayer","0402","86.7100","80.7540","270",""
"C25","100nF","BottomLayer","0402","78.6130","85.3440","180",""
"C24","100nF","BottomLayer","0402","92.3290","93.7260","90",""
"C23","1uF","BottomLayer","0402","93.3450","93.7260","90",""
"C22","100nF","BottomLayer","0402","80.3910","93.2180","90",""
"C21","1uF","BottomLayer","0402","81.4070","93.2180","90",""
"C20","1uF","BottomLayer","0402","88.9550","80.7540","270",""
"C19","100nF","BottomLayer","0402","107.9500","91.0590","180",""
"C18","100nF","BottomLayer","0402","107.9500","89.9160","180",""
"C17","100nF","BottomLayer","0402","82.4230","94.6150","270",""
"C16","100nF","BottomLayer","0402","87.3760","94.6150","270",""
"C15","100nF","BottomLayer","0402","76.3270","93.4720","180",""
"C14","22uF","BottomLayer","0603","121.5898","85.9536","0",""
"C13","22pF","BottomLayer","0402","94.2340","90.1065","180",""
"C12","22pF","BottomLayer","0402","94.2340","91.6940","180",""
"C10","1uF","BottomLayer","0402","94.2340","84.4760","180",""
"C9","100nF","BottomLayer","0402","122.3010","87.5890","0",""
"C6","100nF","BottomLayer","0402","111.3120","85.0900","0",""
"C5","100nF","BottomLayer","0402","111.3120","86.2330","0",""
"C4","1uF","BottomLayer","0402","94.2340","89.0778","180",""
"C3","100nF","BottomLayer","0402","94.2340","86.4870","180",""
"C2","100nF","BottomLayer","0402","111.8870","89.9160","0",""
"C1","100nF","BottomLayer","0402","111.8870","91.0590","0",""
"J3","UART/Power","TopLayer","HDR1X6","128.2070","71.8180","0","Header, 6-Pin"
"D1","RGB LED Common anode","TopLayer","1411","71.8820","76.9620","180","RGB LED Invered"
"D2","RGB LED Common anode","TopLayer","1411","71.5682","97.9610","180","RGB LED Invered"
"J1","SD Card","TopLayer","MEM2075","131.4272","87.8740","90",""
"J2","SFP","TopLayer","SFP_Con_and_Cage","97.5580","87.8740","0","SFP Connector with cage"
